project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,13.792699408991838,13.792699408991838,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.test.junit.CleanUpFiles, org.apache.logging.log4j.test.junit.FileCleaner]",21297;21478,0.0,,0.0,0.0,0.0,6.0,0.0,2,7.270027944375036E-8,1,5.21315036349428,TINY,2,7,7,0.0,0.0,0.0,0,cyclicDep,169328,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,76.90512814633173,76.90512814633173,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.core.config.plugins.PluginAttribute, org.apache.logging.log4j.core.config.plugins.visitors.PluginAttributeVisitor]",39465;15225,0.0,,0.0,0.0,0.0,7.5,6.0,2,4.544427869386656E-8,1,6.9913752860301575,TINY,2,121,121,0.5,0.0,0.0,0,cyclicDep,169334,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,8.89885741666589,8.89885741666589,0.0,UNIT,CONCRETE_CLASS,"[org.apache.logging.log4j.core.async.AsyncLoggerClassLoadDeadlockTest, org.apache.logging.log4j.core.async.AsyncLoggerClassLoadDeadlock]",20153;19527,0.0,,0.0,0.0,0.0,6.0,2.0,2,4.16832646376207E-8,1,5.1377577249921496,TINY,2,3,3,0.0,0.0,0.0,0,cyclicDep,169352,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,12.584884848273306,12.584884848273306,0.0,UNIT,CONCRETE_CLASS,"[org.apache.logging.log4j.core.lookup.MainMapLookup, org.apache.logging.log4j.core.lookup.MapLookup]",4821;5032,0.0,,0.0,0.0,0.0,6.0,2.0,2,6.761121689279806E-8,1,5.1377577249921496,TINY,2,6,6,0.0,0.0,0.0,0,cyclicDep,169358,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,10.42630072698856,10.42630072698856,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.core.config.plugins.validation.validators.NotBlankValidator, org.apache.logging.log4j.core.config.plugins.validation.constraints.NotBlank]",8949;24758,0.0,,0.0,0.0,0.0,9.0,1.0,2,4.3901986316860984E-8,1,5.21315036349428,TINY,2,4,4,0.0,0.0,0.0,0,cyclicDep,169364,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,6.919620621243741,6.919620621243741,0.0,UNIT,ABSTRACTION,"[org.apache.logging.log4j.core.pattern.NameAbbreviator, org.apache.logging.log4j.core.pattern.DynamicWordAbbreviator]",44383;44390,0.0,,0.0,0.0,0.0,6.0,2.0,2,1.307089216454607E-7,1,4.89291066451972,TINY,2,2,2,0.0,0.0,0.0,0,cyclicDep,169370,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,12.584884848273306,12.584884848273306,0.0,UNIT,CONCRETE_CLASS,"[org.apache.logging.log4j.jul.DefaultLevelConverter, org.apache.logging.log4j.jul.LevelTranslator]",41621;41502,0.0,,0.0,0.0,0.0,5.0,2.0,2,9.639215914481881E-8,1,5.1377577249921496,TINY,2,6,6,0.0,0.0,0.0,0,cyclicDep,169376,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,8.89885741666589,8.89885741666589,0.0,UNIT,CONCRETE_CLASS,"[org.apache.logging.log4j.jul.WrappedLogger, org.apache.logging.log4j.jul.ApiLogger]",41599;41582,0.0,,0.0,0.0,0.0,5.0,2.0,2,4.724684834959853E-8,1,5.1377577249921496,TINY,2,3,3,0.0,0.0,0.0,0,cyclicDep,169382,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,21.183517778975727,21.183517778975727,0.0,UNIT,CONCRETE_CLASS,"[org.apache.logging.log4j.layout.template.json.resolver.StackTraceElementResolverContext, org.apache.logging.log4j.layout.template.json.resolver.StackTraceElementResolverFactory]",18100;17566,0.0,,0.0,0.0,0.0,8.0,2.0,2,4.168079710466389E-8,1,5.1377577249921496,TINY,2,17,17,0.0,0.0,0.0,0,cyclicDep,169406,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,14.818817271551604,14.818817271551604,0.0,UNIT,CONCRETE_CLASS,"[org.apache.logging.slf4j.SLF4JLogBuilder, org.apache.logging.slf4j.SLF4JLogger]",38285;38260,0.0,,0.0,0.0,0.0,4.0,0.0,2,5.618330701344899E-8,1,4.939605757183868,TINY,2,9,9,0.0,0.0,0.0,0,cyclicDep,169412,smell
